image_url,products_id
https://t1.daumcdn.net/friends/prod/product/20200410182446685_8809681708128_AW_00_(1).jpg,1
https://t1.daumcdn.net/friends/prod/product/20200410182446818_8809681708128_AW_01_(1).jpg,1
https://t1.daumcdn.net/friends/prod/product/20200410182446972_8809681708128_AW_02_(1).jpg,1
https://t1.daumcdn.net/friends/prod/product/20200410181649789_8809681708135_AW_00.jpg,2
https://t1.daumcdn.net/friends/prod/product/20200410181649840_8809681708135_AW_01.jpg,2
https://t1.daumcdn.net/friends/prod/product/20200410181649901_8809681708135_AW_02.jpg,2
https://t1.daumcdn.net/friends/prod/product/20200410181422865_8809681708142_AW_00.jpg,3
https://t1.daumcdn.net/friends/prod/product/20200410181422945_8809681708142_AW_01.jpg,3
https://t1.daumcdn.net/friends/prod/product/20200410181423080_8809681708142_AW_02.jpg,3
https://t1.daumcdn.net/friends/prod/product/20200410181211982_8809681708159_AW_00.jpg,4
https://t1.daumcdn.net/friends/prod/product/20200410181212024_8809681708159_AW_01.jpg,4
https://t1.daumcdn.net/friends/prod/product/20200410181212175_8809681708159_AW_02.jpg,4
https://t1.daumcdn.net/friends/prod/product/20200410180513548_8809681708166_AW_00.jpg,5
https://t1.daumcdn.net/friends/prod/product/20200410180513595_8809681708166_AW_01.jpg,5
https://t1.daumcdn.net/friends/prod/product/20200410180513732_8809681708166_AW_02.jpg,5
https://t1.daumcdn.net/friends/prod/product/20200410175800339_8809681708173_AW_00.jpg,6
https://t1.daumcdn.net/friends/prod/product/20200410175800372_8809681708173_AW_01.jpg,6
https://t1.daumcdn.net/friends/prod/product/20200410175800426_8809681708173_AW_02.jpg,6
https://t1.daumcdn.net/friends/prod/product/20200410175436355_8809681708180_AW_00.jpg,7
https://t1.daumcdn.net/friends/prod/product/20200410175436391_8809681708180_AW_01.jpg,7
https://t1.daumcdn.net/friends/prod/product/20200410175436430_8809681708180_AW_02.jpg,7
https://t1.daumcdn.net/friends/prod/product/20200410175215616_8809681708197_AW_00.jpg,8
https://t1.daumcdn.net/friends/prod/product/20200410175216160_8809681708197_AW_01.jpg,8
https://t1.daumcdn.net/friends/prod/product/20200410175216247_8809681708197_AW_02.jpg,8
https://t1.daumcdn.net/friends/prod/product/20200410174926902_8809681708203_AW_00.jpg,9
https://t1.daumcdn.net/friends/prod/product/20200410174927065_8809681708203_AW_01.jpg,9
https://t1.daumcdn.net/friends/prod/product/20200410174927101_8809681708203_AW_02.jpg,9
https://t1.daumcdn.net/friends/prod/product/20200331165305823_8809681706797_AW_00.jpg,10
https://t1.daumcdn.net/friends/prod/product/20200331165305865_8809681706797_AW_01.jpg,10
https://t1.daumcdn.net/friends/prod/product/20200331165305899_8809681706797_AW_02.jpg,10
https://t1.daumcdn.net/friends/prod/product/20200331165346389_8809681706803_AW_00.jpg,11
https://t1.daumcdn.net/friends/prod/product/20200331165346432_8809681706803_AW_01.jpg,11
https://t1.daumcdn.net/friends/prod/product/20200331165346478_8809681706803_AW_02.jpg,11
