name,image_url
선데이치즈볼,https://t1.daumcdn.net/friends/prod/category/190910_W_categorytop_sundaycheezzzball_f0321e_main_1080x220.jpg
니니즈,https://t1.daumcdn.net/friends/prod/category/category_niniz_W.jpg
